Name,SecondaryName,Year,Single,Url,GroupID
"Pebblee-Poo, Sweet and Sour, and MC Smiley",The Herculoids,1976,"""Fly Guy"" by Pebblee-Poo",https://www.youtube.com/watch?v=Y6RJcXHUszg,1
Lady B,Wendy Clark,1979,"""To the Beat Y'all""",https://www.youtube.com/watch?v=cmTssM-tAuw,1
MC Sha Rock,Funky Four Plus One,1979,"""Rappin & Rocking The House""",https://www.youtube.com/watch?v=-umSairtriU,2
Angie B,The Sequence,1979,"""Funk You Up""",https://www.youtube.com/watch?v=F_gF1v1xZDc,3
Zulu Queen Lisa Lee,Zulu Nation,1980,"“Zulu Nation Throwdown” with Afrika Bambaataa, Zulu Nation, Cosmic Force",https://www.youtube.com/watch?v=6qjsZJWjKM0,1
E.S.G.,"Esmerald, Sapphire, Gold",1981,"""Erase You""",https://www.youtube.com/watch?v=Vy_U-0s1_G8,1
MC Debbie Dee,,1981,"""Beat Street Us Girls"" with Sha-Rock and Lisa Lee",https://www.youtube.com/watch?v=0h41UjR5jEk,2
Debbie Harry,Blondie,1981,"""Rapture""",https://www.youtube.com/watch?v=pHCdS7O248g,3
Roxanne Shante,,1984,"""Roxanne's Revenge""",https://www.youtube.com/watch?v=0eckRNcHCKA,1
Salt-N-Pepa,,1985,"""None Of Your Business""",https://www.youtube.com/watch?v=_Q96-e042bk,1
"JJ Fad
","Juana Burns (MC J.B.), Dania Birks (Baby-D), Anna Cash (Lady Anna), Fatima Shaheed (O.G. Rocker) and Juanita Lee (Crazy J.)",1985,"""Supersonic""",https://www.youtube.com/watch?v=J3nPLoODtGU,2
Anquette,,1986,"""Throw the P"" anwser to 2 Live Crew's Throw the D single (explicit)",https://www.youtube.com/watch?v=rnJa2Nf2L0U,1
The Real Roxanne,Adelaida Martinez,1986,"""Bang Zoom (Let's Go-Go)""",https://www.youtube.com/watch?v=rNtNUBxDjVY,2
MC Lyte,,1986,"""I Cram to Understand U (Sam)""",https://www.youtube.com/watch?v=Sw1WbJFi5oI,3
Antoinette,,1987,"""I Got An Attitude""",https://www.youtube.com/watch?v=Zhfm6dVj1QY,1
"Sweet Tee
",Suga,1987,"""I Got Da Feelin""",https://www.youtube.com/watch?v=UKSI035_hm0,2
Traedonya ,Sample This!,1987,"""The Boogaloo""",https://www.youtube.com/watch?v=pHx61x0M-ZQ,3
Queen Latifah,,1988,"""Wrath of My Madness""",https://www.youtube.com/watch?v=fldVvxZfwCg,1
Neneh Cherry,,1988,"""Buffalo Stance""",https://www.youtube.com/watch?v=JWsRz3TJDEY,2
Monie Love,Juss Bad,1988,"""Free Style / Proud"" with Jus Bad",https://www.youtube.com/watch?v=YjDDFa1PgqY,3
MC Trouble,,1988,"""(I Wanna) Make You Mine""",https://www.youtube.com/watch?v=1LK8EVRNXNE,4
Michie Mee,,1988,"""Elements of Style""",https://www.youtube.com/watch?v=bwlHRSeeEbw,5
Oaktown's 3.5.7,,1988,"""Juicy Gotcha Krazy""",https://www.youtube.com/watch?v=EFaXqgv6R6w,6
Nikki D,,1989,"""My Love Is So Raw"" with Alyson Williams",https://www.youtube.com/watch?v=ZOdnIAhU-rw,1
