Name,SecondaryName,Year,Single,Url,GroupID,Origin,USRegion,RegionID,Decade
"Pebblee-Poo, Sweet and Sour, and MC Smiley",The Herculoids,1976,"""Fly Guy"" by Pebblee-Poo",https://www.youtube.com/watch?v=Y6RJcXHUszg,1,"Bronx, NY",East Coast,1,1970
Lady B,Wendy Clark,1979,"""To the Beat Y'all""",https://www.youtube.com/watch?v=cmTssM-tAuw,1,"Philadelphia, PA",East Coast,2,1970
MC Sha Rock,Funky Four Plus One,1979,"""Rappin & Rocking The House""",https://www.youtube.com/watch?v=-umSairtriU,2,"Bronx, NY",East Coast,3,1970
Angie B,The Sequence,1979,"""Funk You Up""",https://www.youtube.com/watch?v=F_gF1v1xZDc,3,"Columbia, South Carolina",South,1,1970
Zulu Queen Lisa Lee,Zulu Nation,1980,"“Zulu Nation Throwdown” with Afrika Bambaataa, Zulu Nation, Cosmic Force",https://www.youtube.com/watch?v=6qjsZJWjKM0,1,"Bronx, NY",East Coast,4,1980
E.S.G.,"Esmerald, Sapphire, Gold",1981,"""Erase You""",https://www.youtube.com/watch?v=Vy_U-0s1_G8,1,"Bronx, NY",East Coast,5,1980
MC Debbie Dee,,1981,"""Beat Street Us Girls"" with Sha-Rock and Lisa Lee",https://www.youtube.com/watch?v=0h41UjR5jEk,2,"Harlem, NY",East Coast,6,1980
Debbie Harry,Blondie,1981,"""Rapture""",https://www.youtube.com/watch?v=pHCdS7O248g,3,"New York, NY",East Coast,7,1980
Roxanne Shante,,1984,"""Roxanne's Revenge""",https://www.youtube.com/watch?v=0eckRNcHCKA,1,"Queens, NY",East Coast,8,1980
Salt-N-Pepa,,1985,"""None Of Your Business""",https://www.youtube.com/watch?v=_Q96-e042bk,1,"Queens, NY",East Coast,9,1980
"JJ Fad
","Juana Burns (MC J.B.), Dania Birks (Baby-D), Anna Cash (Lady Anna), Fatima Shaheed (O.G. Rocker) and Juanita Lee (Crazy J.)",1985,"""Supersonic""",https://www.youtube.com/watch?v=J3nPLoODtGU,2,"Rialto, CA",West Coast,1,1980
The Real Roxanne,Adelaida Martinez,1986,"""Bang Zoom (Let's Go-Go)""",https://www.youtube.com/watch?v=rNtNUBxDjVY,1,"Brooklyn, NY
",East Coast,10,1980
MC Lyte,,1986,"""I Cram to Understand U (Sam)""",https://www.youtube.com/watch?v=Sw1WbJFi5oI,2,"Brooklyn, NY
",East Coast,11,1980
Anquette,,1986,"""Throw the P"" anwser to 2 Live Crew's Throw the D single (explicit)",https://www.youtube.com/watch?v=rnJa2Nf2L0U,3,"Miami, FL",South,2,1980
Antoinette,,1987,"""I Got An Attitude""",https://www.youtube.com/watch?v=Zhfm6dVj1QY,1,"Queens, NY",East Coast,12,1980
"Sweet Tee
",Suga,1987,"""I Got Da Feelin""",https://www.youtube.com/watch?v=UKSI035_hm0,2,"Queens, NY",East Coast,13,1980
Traedonya ,Sample This!,1987,"""The Boogaloo""",https://www.youtube.com/watch?v=pHx61x0M-ZQ,3,"New York, NY",East Coast,14,1980
